AtcoCode,Direction,PlateCode,Latitude,Longitude,StopLoadDay,RoutesPassingThrough,RoutesPassingThroughCount,OperatorsPassingThrough,OperatorsPassingThroughCount,ShortCommonName_en,ShortCommonName_ga,isRTPI,HasPole,HasShelter,CarouselType,FlagData,StopAccessibility,WheelchairAccessibility
8330B598761,0,598761,53.5199452,-7.288476717,NULL,22,1,NULL,0,N4 Service Area,Ion Seirbhíse an N4,,Unknown,Unknown,Unknown,Unknown,NULL,NULL
8220DB001479,1,1479,53.34591596,-6.269237344,882," 151, 25, 25a, 25b, 25d, 25x, 26, 37, 39, 39a, 51d, 66, 66a, 66b, 66e, 66x, 67, 67x, 70, 782, 860",21," Dublin Bus, Express Bus, National Express",3,Ormond Quay Upper,Cé Urmhumhan Uacht,1,Pole,No Shelter,Trueform,Trueform,1,1
8220DB001479,0,1479,53.34591596,-6.269237344,882," 145, 782, 83, 83a",4," Dublin Bus, National Express",2,Ormond Quay Upper,Cé Urmhumhan Uacht,1,Pole,No Shelter,Trueform,Trueform,1,1
8220DB001445,1,1445,53.34570558,-6.278302765,826," 145, 782, 845, 847",4," Dublin Bus, Kearns Transport, National Express",3,Usher's Quay,Cé Uiséir,1,No Pole,Shelter,Shelter Panel,Circular,1,1
8220DB001445,0,1445,53.34570558,-6.278302765,826," 25, 25a, 25b, 25d, 25x, 26, 37, 39, 39a, 51d, 66, 66a, 66b, 66e, 66x, 67, 67x, 69, 69x, 70, 782, 79, 79a, 860",24," Dublin Bus, Express Bus, National Express",3,Usher's Quay,Cé Uiséir,1,No Pole,Shelter,Shelter Panel,Circular,1,1
8220DB007453,1,7453,53.34633589,-6.278382504,794," 25, 25a, 25b, 25d, 25x, 26, 37, 39, 39a, 51d, 66, 66a, 66b, 66e, 66x, 67, 67x, 69, 70, 782, 79, 79a",22," Dublin Bus, National Express",2,Arran Quay,Cé Árann,0,Pole,No Shelter,Trueform,Trueform,1,1
8220DB007453,0,7453,53.34633589,-6.278382504,794," 145, 782",2," Dublin Bus, National Express",2,Arran Quay,Cé Árann,0,Pole,No Shelter,Trueform,Trueform,1,1
8220DB000015,1,15,53.36026671,-6.260978043,768," 1, 11, 13, 16, 40, 44, 900, 901, 904, 910",10," Dublin Bus, Matthews Coach Hire",2,Innisfallen Parade,Pd Inis Faithleann,1,No Pole,Shelter,Shelter Panel,Circular,1,1
8220DB000015,0,15,53.36026671,-6.260978043,768," 103, 109x, 111x, 33, 33e, 40b, 40d, 41, 41b, 41c, 41d, nx",12, Dublin Bus,1,Innisfallen Parade,Pd Inis Faithleann,1,No Pole,Shelter,Shelter Panel,Circular,1,1
8220DB001444,1,1444,53.345018,-6.274260191,762," 145, 782, 824",3," Dublin Bus, National Express, PJ Martley",3,Merchant's Quay,Cé na gCeannaithe,1,Pole,No Shelter,Short Carousel,Circular,1,1
8220DB001444,0,1444,53.345018,-6.274260191,762," 25, 25a, 25b, 25d, 25x, 26, 37, 39, 39a, 51d, 66, 66a, 66b, 66e, 66x, 67, 67x, 69, 69x, 70, 782, 79, 79a",23," Dublin Bus, National Express",2,Merchant's Quay,Cé na gCeannaithe,1,Pole,No Shelter,Short Carousel,Circular,1,1
8220DB000400,1,400,53.34484648,-6.253209847,738," 1, 4, 44, 47, 61, 7, 7a, 824",8," Dublin Bus, PJ Martley",2,Shaw Street,Sráid an tSeáigh,1,Pole,No Shelter,Short Carousel,"Lolly Pop,Stretched",1,1
8220DB000400,0,400,53.34484648,-6.253209847,738," 120, 15a, 15b, 15d, 25, 25a, 25b, 25d, 26, 27, 56a, 66, 66a, 66b, 66e, 67, 77a",17, Dublin Bus,1,Shaw Street,Sráid an tSeáigh,1,Pole,No Shelter,Short Carousel,"Lolly Pop,Stretched",1,1
8220DB001353,1,1353,53.33600953,-6.265418938,725," 122, 14, 140, 142, 15, 15a, 15b, 15d, 16, 65, 65b, 68, 68a, 83, 83a, 9",16, Dublin Bus,1,Pleasants Street,Sráid Pleasants,1,Pole,No Shelter,Short Carousel,Stretched,1,1
8220DB001285,0,1285,53.33437841,-6.265124754,724," 122, 14, 140, 15, 15a, 15b, 15d, 16, 16d, 65, 65b, 68, 68a, 83, 83a, 9",16, Dublin Bus,1,Camden Street Lower,Sráid Camden Íocht,1,No Pole,Shelter,None,None,1,1
8220DB001478,1,1478,53.34564609,-6.272943127,716," 25, 25a, 25b, 25d, 25x, 26, 37, 39, 39a, 39x, 51d, 66, 66a, 66b, 66e, 66x, 67, 67x, 70",19, Dublin Bus,1,Four Courts,Ceithre Cúirteanna,1,Pole,No Shelter,Short Carousel,Stretched,1,1
8220DB001478,0,1478,53.34564609,-6.272943127,716," 145, 824, 83, 83a",4," Dublin Bus, PJ Martley",2,Four Courts,Ceithre Cúirteanna,1,Pole,No Shelter,Short Carousel,Stretched,1,1
8220DB000619,1,619,53.35404463,-6.247305334,709," 130, 27a, 27b, 42, 43, 53, 6, 912, h1, h2, h3, h9",12," Dublin Bus, Matthews Coach Hire",2,Amiens Street,Sráid Amiens,0,No Pole,Shelter,Shelter Panel,Circular,1,1
8220DB000619,0,619,53.35404463,-6.247305334,709," 14, 15, 27, 912",4," Dublin Bus, Matthews Coach Hire",2,Amiens Street,Sráid Amiens,0,No Pole,Shelter,Shelter Panel,Circular,1,1
8220DB000675,1,675,53.35285814,-6.248525759,707," 130, 27a, 27b, 42, 43, 53, 6, h1, h2, h3, h9",11, Dublin Bus,1,Buckingham St Lower,Sd Buckingham Íocht,0,Pole,No Shelter,None,Stretched,1,1
8220DB000675,0,675,53.35285814,-6.248525759,707," 14, 15, 27, 32x",4, Dublin Bus,1,Buckingham St Lower,Sd Buckingham Íocht,0,Pole,No Shelter,None,Stretched,1,1
8220DB000618,1,618,53.35610118,-6.244742068,705," 130, 27a, 27b, 42, 43, 53, 6, h1, h2, h3, h9",11, Dublin Bus,1,Newcomen Bridge,Droichead Newcomen,1,No Pole,Shelter,Shelter Panel,Circular,1,1
8220DB000618,0,618,53.35610118,-6.244742068,705," 14, 15, 27",3, Dublin Bus,1,Newcomen Bridge,Droichead Newcomen,1,No Pole,Shelter,Shelter Panel,Circular,1,1
8220DB000617,1,617,53.35789452,-6.242009096,705," 130, 27a, 27b, 42, 43, 53, 6, h1, h2, h3, h9",11, Dublin Bus,1,Strandville Avenue,Asc Bhaile na Trá,1,No Pole,Shelter,Shelter Panel,Circular,1,1
8220DB000617,0,617,53.35789452,-6.242009096,705," 14, 15, 27",3, Dublin Bus,1,Strandville Avenue,Asc Bhaile na Trá,1,No Pole,Shelter,Shelter Panel,Circular,1,1
8220DB000616,1,616,53.35984471,-6.239554896,705," 130, 27a, 27b, 42, 43, 53, 6, h1, h2, h3, h9",11, Dublin Bus,1,Nth Strand Fire Stn,Stáisiún Sóiteáin,1,No Pole,Shelter,Shelter Panel,Circular,1,1
